FOLKART BLU ÇEŞME YÖNETİMİ
OCAK / 2026 DÖNEMİ
ISITMA/SOĞUTMA - AYLLIK TÜKETİM RAPORU

ESKİ_NUMARA,DAİRE_ADI,DAİRE_NO,TİP,AYLIK_TUKETIM_WH,AYLIK_TUKETIM_KWH
,DAIRE 1,1,SÜİT,95276.0,95.276
,DAIRE 2,2,SÜİT,104666.0,104.666
,DAIRE 3,3,SÜİT,97431.0,97.431
,DAIRE 4,4,SÜİT,85355.0,85.355
,DAIRE 5,5,SÜİT,28322.0,28.322
,DAIRE 6,6,SÜİT,96761.0,96.761
,DAIRE 7,7,SÜİT,133519.0,133.519
,DAIRE 8,8,SÜİT,163835.0,163.83499999999998
,DAIRE 9,9,SÜİT,86956.0,86.956
,DAIRE 10,10,SÜİT,134141.0,134.141
,DAIRE 11,11,SÜİT,48839.0,48.839
,DAIRE 12,12,SÜİT,44401.0,44.400999999999996
,DAIRE 13,13,SÜİT,43294.0,43.294
,DAIRE 14,14,SÜİT,39962.0,39.962
,DAIRE 15,15,SÜİT,82961.0,82.961
,DAIRE 16,16,SÜİT,67540.0,67.53999999999999
,DAIRE 17,17,SÜİT,100101.0,100.101
,DAIRE 18,18,SÜİT,42112.0,42.111999999999995
,DAIRE 19,19,SÜİT,75486.0,75.48599999999999
,DAIRE 20,20,SÜİT,37509.0,37.509
,DAIRE 21,21,SÜİT,27637.0,27.637
,DAIRE 22,22,SÜİT,146081.0,146.08100000000002
,DAIRE 23,23,SÜİT,90745.0,90.745
,DAIRE 24,24,SÜİT,90745.0,90.745
,DAIRE 25,25,SÜİT,90745.0,90.745
,DAIRE 26,26,SÜİT,90745.0,90.745
,DAIRE 27,27,SÜİT,43235.0,43.235
,DAIRE 28,28,SÜİT,38675.0,38.675
,DAIRE 29,29,SÜİT,32324.0,32.324
,DAIRE 30,30,SÜİT,466241.0,466.241
,DAIRE 31,31,SÜİT,38610.0,38.61
,DAIRE 32,32,SÜİT,65402.0,65.402
,DAIRE 33,33,SÜİT,24200.0,24.200000000000003
,DAIRE 34,34,SÜİT,28951.0,28.951
,DAIRE 35,35,SÜİT,26980.0,26.98
,DAIRE 36,36,SÜİT,67947.0,67.947
,DAIRE 37,37,SÜİT,118808.0,118.808
,DAIRE 38,38,SÜİT,70329.0,70.32900000000001
,DAIRE 39,39,SÜİT,50065.0,50.065
,DAIRE 40,40,SÜİT,175663.0,175.663
,DAIRE 41,41,SÜİT,71247.0,71.247
,DAIRE 42,42,SÜİT,71247.0,71.247
,DAIRE 43,43,SÜİT,71247.0,71.247
,DAIRE 44,44,SÜİT,71247.0,71.247
,DAIRE 45,45,SÜİT,47890.0,47.89
,DAIRE 46,46,SÜİT,47890.0,47.89
,DAIRE 47,47,SÜİT,47890.0,47.89
,DAIRE 48,48,SÜİT,75949.0,75.949
,DAIRE 49,49,SÜİT,151386.0,151.386
,DAIRE 50,50,SÜİT,110955.0,110.95500000000001
,DAIRE 51,51,SÜİT,69196.0,69.196
,DAIRE 52,52,SÜİT,52447.0,52.447
,DAIRE 53,53,SÜİT,48874.0,48.873999999999995
,DAIRE 54,54,SÜİT,96111.0,96.111
,DAIRE 55,55,SÜİT,82991.0,82.991
,DAIRE 56,56,SÜİT,435459.0,435.459
,DAIRE 57,57,SÜİT,92226.0,92.226
,DAIRE 58,58,SÜİT,81076.0,81.076
,DAIRE 59,59,SÜİT,145638.0,145.63799999999998
,DAIRE 60,60,SÜİT,81074.0,81.074
,DAIRE 61,61,SÜİT,49665.0,49.665
,DAIRE 62,62,SÜİT,382989.0,382.98900000000003
,DAIRE 63,63,SÜİT,43626.0,43.626000000000005
,DAIRE 64,64,SÜİT,38305.0,38.305
,DAIRE 65,65,SÜİT,102510.0,102.51
,DAIRE 66,66,SÜİT,84418.0,84.418
,DAIRE 67,67,SÜİT,64232.0,64.232
,DAIRE 68,68,SÜİT,84240.0,84.24
,DAIRE 69,69,SÜİT,192515.0,192.51500000000001
,DAIRE 70,70,SÜİT,257740.0,257.74
,DAIRE 71,71,SÜİT,84240.0,84.24
,DAIRE 72,72,SÜİT,64232.0,64.232
,DAIRE 73,73,SÜİT,53063.0,53.063
,DAIRE 74,74,SÜİT,49448.0,49.448
,DAIRE 75,75,SÜİT,45828.0,45.828
,DAIRE 76,76,SÜİT,49448.0,49.448
,DAIRE 77,77,SÜİT,53063.0,53.063
,DAIRE 78,78,SÜİT,155572.0,155.572
,DAIRE 79,79,SÜİT,94067.0,94.067
,DAIRE 80,80,SÜİT,79594.0,79.594
,LOBI A HRV,LOBI,ORTAK,0.0,0.0
,LOBI,LOBI,ORTAK,51302.0,51.302
,YONETIM HRV,YONETIM,ORTAK,0.0,0.0
,YONETIM OFIS,YONETIM,ORTAK,1592945.0,1592.945
,91-P.O.,ORTAK,ORTAK,470121.0,470.121
,P.MUTFAK,ORTAK,ORTAK,1168890.0,1168.89
,93-P.O,ORTAK,ORTAK,9631.0,9.631
,94-P.O,ORTAK,ORTAK,34.0,0.034
,95-P.O,ORTAK,ORTAK,99986.0,99.986
,96-P.O,ORTAK,ORTAK,167746.0,167.746
,RES. MUTFAK,ORTAK,ORTAK,17137.0,17.137
,BAYBAYAN SOY,ORTAK,ORTAK,27377.0,27.377
,FITNESS 1,FITNESS,ORTAK,74014.0,74.014
,FITNESS 2,FITNESS,ORTAK,74345.0,74.345
,FITNESS 3,FITNESS,ORTAK,74597.0,74.597
,FITNESS 4,FITNESS,ORTAK,74065.0,74.065
,FITNESS HRV,FITNESS,ORTAK,0.0,0.0


ÖZET İSTATİSTİKLERİ
Toplam Alan;97
Genel Aylık Toplam (kWh);11275.62
Ortalama (kWh);116.24
En Yüksek (kWh);1592.94
En Düşük (kWh);0.00
SÜİT - Toplam (kWh);7373.43
SÜİT - Sayı;80
ORTAK - Toplam (kWh);3902.19
ORTAK - Sayı;17
